"trimestre","code_region","nom_region","nombre_doperations_actives"
"2025-12","84","Auvergne-Rhône-Alpes",239
"2026-03","84","AUVERGNE RHONE ALPES",297
"2021-12","24","Centre-Val-de-Loire",
"2026-03","27","BOURGOGNE FRANCHE COMTE",171
"2025-12","27","Bourgogne-Franche-Comté",130
"2025-06","27","Bourgogne-Franche-Comté",82
"2026-03","53","BRETAGNE",155
"2025-12","53","Bretagne",134
"2023-03","28","Normandie",7
"2023-12","75","Nouvelle-Aquitaine",32
"2025-12","24","Centre-Val-de-Loire",54
"2026-03","24","CENTRE VAL DE LOIRE",72
"2026-03","44","GRAND EST",186
"2022-06","76","Occitanie",20
"2025-12","44","Grand-Est",161
"2025-12","32","Hauts-de-France",132
"2021-06","52","Pays-de-la-Loire",9
"2026-03","32","HAUTS DE FRANCE",151
"2021-09","24","Centre-Val-de-Loire",
"2025-12","11","Île-de-France",65
"2026-03","11","ILE DE FRANCE",74
"2023-06","27","Bourgogne-Franche-Comté",9
"2025-12","28","Normandie",56
"2026-03","28","NORMANDIE",66
"2026-03","75","NOUVELLE AQUITAINE",197
"2025-12","75","Nouvelle-Aquitaine",171
"2023-06","44","Grand-Est",30
"2026-03","76","OCCITANIE",298
"2025-12","76","Occitanie",256
"2022-09","84","Auvergne-Rhône-Alpes",8
"2024-09","52","Pays-de-la-Loire",45
"2025-12","52","Pays-de-la-Loire",132
"2026-03","52","PAYS DE LA LOIRE",159
"2025-12","93","Provence-Alpes-Côte-d'Azur",95
"2025-03","27","Bourgogne-Franche-Comté",60
"2026-03","93","PROVENCE ALPES COTE D AZUR",119
"2024-09","76","Occitanie",75
"2023-06","75","Nouvelle-Aquitaine",19
"2024-12","27","Bourgogne-Franche-Comté",53
"2024-09","11","Île-de-France",27
"2023-12","28","Normandie",13
"2024-03","76","Occitanie",51
"2025-03","24","Centre-Val-de-Loire",30
"2024-12","93","Provence-Alpes-Côte-d'Azur",42
"2024-03","84","Auvergne-Rhône-Alpes",48
"2023-06","53","Bretagne",29
"2021-12","27","Bourgogne-Franche-Comté",
"2022-09","93","Provence-Alpes-Côte-d'Azur",7
"2021-06","11","Île-de-France",
"2021-12","28","Normandie",3
"2022-12","44","Grand-Est",19
"2023-03","32","Hauts-de-France",32
"2023-03","24","Centre-Val-de-Loire",3
"2025-03","53","Bretagne",64
"2024-12","75","Nouvelle-Aquitaine",72
"2024-06","53","Bretagne",39
"2023-03","53","Bretagne",22
"2023-06","11","Île-de-France",11
"2021-12","32","Hauts-de-France",22
"2022-09","52","Pays-de-la-Loire",11
"2022-12","32","Hauts-de-France",30
"2021-06","84","Auvergne-Rhône-Alpes",5
"2021-06","53","Bretagne",3
"2022-06","32","Hauts-de-France",25
"2025-03","28","Normandie",30
"2021-12","93","Provence-Alpes-Côte-d'Azur",3
"2022-06","84","Auvergne-Rhône-Alpes",6
"2022-09","75","Nouvelle-Aquitaine",10
"2025-06","11","Île-de-France",49
"2021-09","32","Hauts-de-France",18
"2023-06","76","Occitanie",33
"2024-03","28","Normandie",13
"2024-09","84","Auvergne-Rhône-Alpes",76
"2024-06","11","Île-de-France",18
"2022-03","84","Auvergne-Rhône-Alpes",5
"2021-03","76","Occitanie",8
"2022-03","24","Centre-Val-de-Loire",
"2021-03","52","Pays-de-la-Loire",7
"2021-06","44","Grand-Est",
"2022-06","28","Normandie",4
"2024-03","44","Grand-Est",51
"2025-06","93","Provence-Alpes-Côte-d'Azur",67
"2025-03","32","Hauts-de-France",72
"2021-12","52","Pays-de-la-Loire",9
"2022-12","53","Bretagne",16
"2022-12","28","Normandie",6
"2022-09","53","Bretagne",12
"2024-06","84","Auvergne-Rhône-Alpes",55
"2023-12","52","Pays-de-la-Loire",24
"2023-09","52","Pays-de-la-Loire",17
"2022-03","11","Île-de-France",
"2023-09","27","Bourgogne-Franche-Comté",14
"2024-03","52","Pays-de-la-Loire",25
"2023-06","52","Pays-de-la-Loire",14
"2023-06","32","Hauts-de-France",33
"2021-03","32","Hauts-de-France",14
"2023-12","24","Centre-Val-de-Loire",6
"2023-09","84","Auvergne-Rhône-Alpes",31
"2021-03","11","Île-de-France",
"2022-12","93","Provence-Alpes-Côte-d'Azur",7
"2023-03","84","Auvergne-Rhône-Alpes",16
"2022-03","53","Bretagne",8
"2022-03","75","Nouvelle-Aquitaine",9
"2025-06","84","Auvergne-Rhône-Alpes",172
"2021-12","76","Occitanie",15
"2022-06","24","Centre-Val-de-Loire",
"2022-09","44","Grand-Est",7
"2022-12","11","Île-de-France",4
"2023-12","27","Bourgogne-Franche-Comté",17
"2024-09","93","Provence-Alpes-Côte-d'Azur",32
"2023-03","76","Occitanie",28
"2021-06","76","Occitanie",13
"2021-03","93","Provence-Alpes-Côte-d'Azur",
"2021-12","53","Bretagne",3
"2024-06","32","Hauts-de-France",54
"2023-06","93","Provence-Alpes-Côte-d'Azur",13
"2023-09","53","Bretagne",27
"2021-03","53","Bretagne",3
"2024-09","44","Grand-Est",64
"2025-06","75","Nouvelle-Aquitaine",110
"2024-12","84","Auvergne-Rhône-Alpes",93
"2024-03","32","Hauts-de-France",49
"2024-03","11","Île-de-France",13
"2023-12","11","Île-de-France",13
"2023-06","24","Centre-Val-de-Loire",3
"2023-06","28","Normandie",8
"2021-09","11","Île-de-France",
"2021-12","84","Auvergne-Rhône-Alpes",5
"2022-09","11","Île-de-France",
"2022-03","52","Pays-de-la-Loire",10
"2023-12","93","Provence-Alpes-Côte-d'Azur",20
"2021-03","84","Auvergne-Rhône-Alpes",3
"2022-06","11","Île-de-France",
"2023-12","32","Hauts-de-France",45
"2024-03","53","Bretagne",34
"2022-03","28","Normandie",4
"2023-03","27","Bourgogne-Franche-Comté",7
"2023-03","44","Grand-Est",27
"2022-06","75","Nouvelle-Aquitaine",10
"2023-09","93","Provence-Alpes-Côte-d'Azur",16
"2021-09","44","Grand-Est",
"2025-06","53","Bretagne",87
"2022-09","24","Centre-Val-de-Loire",
"2022-06","27","Bourgogne-Franche-Comté",3
"2024-12","28","Normandie",26
"2025-06","24","Centre-Val-de-Loire",35
"2022-03","76","Occitanie",17
"2022-03","93","Provence-Alpes-Côte-d'Azur",4
"2024-03","75","Nouvelle-Aquitaine",42
"2024-06","75","Nouvelle-Aquitaine",48
"2023-12","76","Occitanie",44
"2021-03","24","Centre-Val-de-Loire",
"2021-03","28","Normandie",3
"2024-06","52","Pays-de-la-Loire",34
"2021-06","32","Hauts-de-France",17
"2021-06","75","Nouvelle-Aquitaine",6
"2021-09","52","Pays-de-la-Loire",9
"2022-09","28","Normandie",5
"2023-09","11","Île-de-France",11
"2021-09","28","Normandie",3
"2021-09","93","Provence-Alpes-Côte-d'Azur",3
"2023-12","84","Auvergne-Rhône-Alpes",43
"2022-09","32","Hauts-de-France",26
"2023-09","28","Normandie",9
"2021-03","75","Nouvelle-Aquitaine",4
"2022-06","44","Grand-Est",3
"2024-12","52","Pays-de-la-Loire",58
"2023-09","75","Nouvelle-Aquitaine",23
"2023-09","76","Occitanie",35
"2022-06","93","Provence-Alpes-Côte-d'Azur",7
"2024-06","76","Occitanie",69
"2023-09","44","Grand-Est",34
"2023-03","11","Île-de-France",6
"2023-03","52","Pays-de-la-Loire",13
"2021-09","27","Bourgogne-Franche-Comté",0
"2022-09","76","Occitanie",21
"2022-12","27","Bourgogne-Franche-Comté",5
"2025-03","84","Auvergne-Rhône-Alpes",124
"2022-03","27","Bourgogne-Franche-Comté",
"2022-03","32","Hauts-de-France",22
"2021-03","44","Grand-Est",
"2024-03","93","Provence-Alpes-Côte-d'Azur",27
"2023-12","53","Bretagne",31
"2021-09","76","Occitanie",14
"2025-06","52","Pays-de-la-Loire",101
"2025-03","44","Grand-Est",100
"2025-03","76","Occitanie",135
"2021-06","28","Normandie",3
"2024-12","32","Hauts-de-France",68
"2024-09","53","Bretagne",45
"2022-06","53","Bretagne",10
"2023-03","75","Nouvelle-Aquitaine",16
"2023-09","24","Centre-Val-de-Loire",4
"2024-06","44","Grand-Est",57
"2022-12","52","Pays-de-la-Loire",14
"2021-06","27","Bourgogne-Franche-Comté",0
"2022-12","76","Occitanie",23
"2024-09","28","Normandie",24
"2025-06","32","Hauts-de-France",83
"2025-03","11","Île-de-France",39
"2024-09","27","Bourgogne-Franche-Comté",36
"2024-09","32","Hauts-de-France",62
"2024-06","27","Bourgogne-Franche-Comté",24
"2022-12","24","Centre-Val-de-Loire",3
"2025-06","76","Occitanie",174
"2024-12","44","Grand-Est",81
"2024-12","11","Île-de-France",33
"2024-03","27","Bourgogne-Franche-Comté",18
"2021-09","84","Auvergne-Rhône-Alpes",5
"2021-09","75","Nouvelle-Aquitaine",6
"2023-09","32","Hauts-de-France",38
"2025-06","28","Normandie",38
